"login","merged_prs"
"ivelasq",88
"shikokuchuo",56
"maelle",55
"jonmcalder",54
"HenrikBengtsson",53
"jonocarroll",51
"AlbertRapp",43
"Ryo-N7",36
"etiennebacher",26
"hturner",26
"hughjonesd",26
"mikemahoney218",24
"martinctc",23
"stephenturner",22
"b-rodrigues",21
"amrrs",17
"chainsawriot",17
"jwijffels",16
"malcolmbarrett",15
"rolkra",15
"tbs08",15
"tomroh",15
"ColinFay",14
"lgellis",14
"andrewheiss",13
"dependabot[bot]",13
"rpodcast",13
"feddelegrand7",12
"kbodwin",12
"mcdussault",12
"moldach",12
"s3rdia",12
"jdblischak",11
"KittJonathan",11
"rCarto",11
"tonyelhabr",11
"CuiweiG",10
"dA505819",10
"echasnovski",10
"jhelvy",10
"lorenzwalthert",10
"mailund",10
"suzanbaert",10
"Bisaloo",9
"RaoOfPhysics",9
"seabbs",9
"deanmarchiori",8
"hfshr",8
"JosiahParry",8
"L-Groeninger",8
"MilesMcBain",8
"seasmith",8
"cutterkom",7
"dieghernan",7
"DougVegas",7
"eddelbuettel",7
"EmilHvitfeldt",7
"gadenbuie",7
"JeffreyRStevens",7
"jmaspons",7
"JorisChau",7
"katiejolly",7
"Layalchristine24",7
"mhoehle",7
"noamross",7
"pat-s",7
"privefl",7
"amirmasoudabdol",6
"conorotompkins",6
"ekianjo",6
"eokodie",6
"jlacko",6
"kgjerde",6
"kinto-b",6
"mkmiecik14",6
"paul-carteron",6
"psolymos",6
"rstub",6
"ymansiaux",6
"alfredo-hs",5
"boiled-data",5
"bschneidr",5
"gvelasq",5
"ijlyttle",5
"jhk0530",5
"JiaxiangBU",5
"Jokasan",5
"jrosen48",5
"liao961120",5
"matanhakim",5
"terrytangyuan",5
"thebioengineer",5
"benmarwick",4
"cgoo4",4
"cregouby",4
"d4tagirl",4
"davidkane9",4
"davidrsch",4
"ddotta",4
"dshkol",4
"egeulgen",4
"EllaKaye",4
"FelixAnalytix",4
"HaydenMacDonald",4
"iamericfletcher",4
"karoliskoncevicius",4
"kwstat",4
"mine-cetinkaya-rundel",4
"mthomas-ketchbrook",4
"nrennie",4
"qinwf",4
"RachaelDempsey",4
"sinarueeger",4
"uribo",4
"abresler",3
"aosmith16",3
"apreshill",3
"ashbaldry",3
"BatoolMM",3
"brendensm",3
"calderonsamuel",3
"cenuno",3
"coatless",3
"CodingTigerTang",3
"daattali",3
"dirkschumacher",3
"emilyriederer",3
"faridovski",3
"ghost",3
"giocomai",3
"GuangchuangYu",3
"iamYannC",3
"jonthegeek",3
"karawoo",3
"katiesegreti",3
"khailper",3
"lhehnke",3
"markvanderloo",3
"mcanouil",3
"melissavanbussel",3
"mkearney",3
"Nowosad",3
"olgamie",3
"pablobernabeu",3
"scheithauer",3
"schochastics",3
"shahronak47",3
"StatsRhian",3
"tomsing1",3
"urswilke",3
"AbdoulMa",2
"adomingues",2
"aitap",2
"amart90",2
"asafichaki",2
"atheriel",2
"brodieG",2
"brucemeng",2
"BruceZhaoR",2
"bruno-ponne",2
"CharlesBordet",2
"chucheria",2
"ctoney",2
"dariia-m",2
"dgkeyes",2
"evanmiyakawa",2
"gergness",2
"gigikenneth",2
"gilliganondata",2
"harshvardhaniimi",2
"HenningLorenzen-ext-bayer",2
"IsadoreNabi",2
"jakubsob",2
"jeroen",2
"leynu",2
"lpembleton",2
"luisDVA",2
"matt-dray",2
"max-alletsee",2
"MCMaurer",2
"MCodrescu",2
"mdequeljoe",2
"MohammedFCIS",2
"mrkaye97",2
"mrustl",2
"mstrimas",2
"njtalingting",2
"novica",2
"olivroy",2
"oscarbaruffa",2
"osofr",2
"realHenningLorenzen",2
"rentrop",2
"richfitz",2
"RobWHickman",2
"rsangole",2
"rweeklyteam",2
"sahirbhatnagar",2
"shanlong-who",2
"sharlagelfand",2
"svitkin",2
"taraskaduk",2
"tin900",2
"Tomeriko96",2
"tvroylandt",2
"VisruthSK",2
"walkerkq",2
"wdenton",2
"WilliamTylerBradley",2
"wlandau",2
"xmc811",2
"1danjordan",1
"abichat",1
"aczepielik",1
"albersonmiranda",1
"AmeliaMN",1
"anderic1",1
"andreykh1985",1
"annakrystalli",1
"AntoineSoetewey",1
"arcruz0",1
"Arnold-Kakas",1
"asitav-sen",1
"aTnT",1
"aurielfournier",1
"BajczA475",1
"Bakaniko",1
"baslat",1
"bastianolea",1
"bauer-alex",1
"benubah",1
"BenWiseman",1
"bfgray3",1
"bioszen",1
"BjarkeHautop",1
"boshek",1
"brenwin1",1
"briatte",1
"bruceyyu",1
"BrydenFrancesca",1
"carlislerainey",1
"christophscheuch",1
"cmaimone",1
"ctufts",1
"czeildi",1
"danielvartan",1
"daniloderosa",1
"dansmith01",1
"daranzolin",1
"daroczig",1
"datalorax",1
"davidgohel",1
"dfalbel",1
"dicorynia",1
"dpprdan",1
"drmowinckels",1
"dselivanov",1
"earobinson95",1
"EconomiCurtis",1
"EdwinTh",1
"eitsupi",1
"eliocamp",1
"elisedupuis",1
"erictleung",1
"erikgahner",1
"erwinlares",1
"ethanbass",1
"ewenme",1
"EydlinIlya",1
"fgazzelloni",1
"finnoh",1
"fmichonneau",1
"format0",1
"franziloew",1
"frederikziebell",1
"fthielen",1
"GABurns",1
"GadesTraining",1
"galalH",1
"gavinsimpson",1
"gdevailly",1
"goknurginer",1
"gregrs-uk",1
"ha-pu",1
"haighd",1
"hoxo-m",1
"huizezhang-sherry",1
"irismeredith",1
"irudnyts",1
"jadeynryan",1
"JamesHWade",1
"jasdumas",1
"JavOrraca",1
"jaytimm",1
"jcasman",1
"jeanpaulrsoucy",1
"jeanpauphilet",1
"jeffreyenos",1
"jimbono4-cpu",1
"jimhester",1
"jmablog",1
"jmgirard",1
"jminnier",1
"jolars",1
"JoseAntonioOrtega",1
"JoseEchave",1
"joshpersi",1
"joshwlivingston",1
"jshannon75",1
"JustSplash8501",1
"kalimu",1
"kbroman",1
"kestrel99",1
"kikoso",1
"kollerma",1
"kpiwonski",1
"kylieainslie",1
"laderast",1
"lddurbin",1
"ledell",1
"leeper",1
"lilyclements",1
"luansheng",1
"MaelTheuliere",1
"marcboschmatas",1
"MarcinKosinski",1
"marcusvolz",1
"mariabnd",1
"martinezc1",1
"mattle24",1
"mattwarkentin",1
"mbanand",1
"mdogucu",1
"MechantRouquin",1
"mhanf",1
"michaelquinn32",1
"MikeJaredS",1
"MikeJohnPage",1
"mitchelloharawild",1
"Mkranj",1
"mlechon",1
"monty-se",1
"morrisLuke",1
"mthulin",1
"nacnudus",1
"natekratzer",1
"nbafrank",1
"nicholasjclark",1
"nielsoledam",1
"nifdy",1
"nvietto",1
"ocstringham",1
"olifog",1
"PeerChristensen",1
"PeteHaitch",1
"Polymerase3",1
"PowellWheeler",1
"R-icntay",1
"r-suzuki",1
"rajshah4",1
"rasmusab",1
"rayms",1
"remlapmot",1
"rexarski",1
"rfsaldanha",1
"rladiesgaborone",1
"RLesur",1
"rmflight",1
"rnburn",1
"RobertMyles",1
"RohanAlexander",1
"RoryLawless",1
"rpahl",1
"rrrlw",1
"sbudai",1
"seaCatKim",1
"Selbosh",1
"serkor1",1
"SGS2000",1
"sheitin",1
"ShiyuC",1
"simon-smart88",1
"smach",1
"smorbieu",1
"solarchemist",1
"Statistcs",1
"stragu",1
"talegari",1
"tanho63",1
"taylor-arnold",1
"tenmeh",1
"thibautjombart",1
"thirdwing",1
"thoughtfulbloke",1
"tidyecology",1
"TimTaylor",1
"tlhenvironment",1
"TypeThePipe",1
"warlicks",1
"wjakethompson",1
"wkumler",1
"wvictor14",1
"XynthiaKavelaars",1
"yjunechoe",1
