"year_month","month_start","merged_prs","unique_authors","new_authors","returning_authors","cumulative_authors"
"2016-06",2016-06-01,4,3,3,0,3
"2016-07",2016-07-01,12,10,10,0,13
"2016-08",2016-08-01,5,2,2,0,15
"2016-09",2016-09-01,3,3,1,2,16
"2016-10",2016-10-01,4,4,3,1,19
"2016-11",2016-11-01,10,4,1,3,20
"2016-12",2016-12-01,10,4,2,2,22
"2017-01",2017-01-01,16,6,4,2,26
"2017-02",2017-02-01,12,8,2,6,28
"2017-03",2017-03-01,7,6,2,4,30
"2017-04",2017-04-01,9,5,3,2,33
"2017-05",2017-05-01,2,2,0,2,33
"2017-06",2017-06-01,2,2,1,1,34
"2017-07",2017-07-01,1,1,0,1,34
"2017-08",2017-08-01,2,2,0,2,34
"2017-09",2017-09-01,1,1,0,1,34
"2017-10",2017-10-01,1,1,1,0,35
"2017-11",2017-11-01,12,2,2,0,37
"2017-12",2017-12-01,14,12,8,4,45
"2018-01",2018-01-01,33,23,20,3,65
"2018-02",2018-02-01,46,26,14,12,79
"2018-03",2018-03-01,24,15,5,10,84
"2018-04",2018-04-01,28,24,11,13,95
"2018-05",2018-05-01,12,9,3,6,98
"2018-06",2018-06-01,24,19,8,11,106
"2018-07",2018-07-01,30,20,7,13,113
"2018-08",2018-08-01,10,7,1,6,114
"2018-09",2018-09-01,8,5,1,4,115
"2018-10",2018-10-01,4,4,0,4,115
"2018-11",2018-11-01,9,7,1,6,116
"2018-12",2018-12-01,5,5,0,5,116
"2019-01",2019-01-01,20,12,4,8,120
"2019-02",2019-02-01,22,15,3,12,123
"2019-03",2019-03-01,14,9,1,8,124
"2019-04",2019-04-01,7,5,1,4,125
"2019-05",2019-05-01,17,14,4,10,129
"2019-06",2019-06-01,15,12,6,6,135
"2019-07",2019-07-01,21,15,2,13,137
"2019-08",2019-08-01,14,10,1,9,138
"2019-09",2019-09-01,11,8,1,7,139
"2019-10",2019-10-01,6,6,1,5,140
"2019-11",2019-11-01,8,8,0,8,140
"2019-12",2019-12-01,9,9,2,7,142
"2020-01",2020-01-01,9,7,2,5,144
"2020-02",2020-02-01,19,16,5,11,149
"2020-03",2020-03-01,9,9,2,7,151
"2020-04",2020-04-01,16,8,2,6,153
"2020-05",2020-05-01,20,16,7,9,160
"2020-06",2020-06-01,21,15,7,8,167
"2020-07",2020-07-01,12,12,4,8,171
"2020-08",2020-08-01,6,6,4,2,175
"2020-09",2020-09-01,10,7,3,4,178
"2020-10",2020-10-01,18,16,3,13,181
"2020-11",2020-11-01,16,13,6,7,187
"2020-12",2020-12-01,22,17,7,10,194
"2021-01",2021-01-01,14,11,3,8,197
"2021-02",2021-02-01,14,11,0,11,197
"2021-03",2021-03-01,14,10,3,7,200
"2021-04",2021-04-01,12,10,3,7,203
"2021-05",2021-05-01,14,13,4,9,207
"2021-06",2021-06-01,5,5,0,5,207
"2021-07",2021-07-01,10,7,1,6,208
"2021-08",2021-08-01,16,13,2,11,210
"2021-09",2021-09-01,12,9,3,6,213
"2021-10",2021-10-01,16,14,4,10,217
"2021-11",2021-11-01,13,10,4,6,221
"2021-12",2021-12-01,16,14,4,10,225
"2022-01",2022-01-01,14,11,3,8,228
"2022-02",2022-02-01,0,0,0,0,228
"2022-03",2022-03-01,4,4,2,2,230
"2022-04",2022-04-01,29,18,3,15,233
"2022-05",2022-05-01,15,10,2,8,235
"2022-06",2022-06-01,16,13,2,11,237
"2022-07",2022-07-01,18,13,5,8,242
"2022-08",2022-08-01,13,11,3,8,245
"2022-09",2022-09-01,18,13,2,11,247
"2022-10",2022-10-01,12,11,3,8,250
"2022-11",2022-11-01,24,17,3,14,253
"2022-12",2022-12-01,13,12,3,9,256
"2023-01",2023-01-01,17,13,3,10,259
"2023-02",2023-02-01,16,14,4,10,263
"2023-03",2023-03-01,24,15,6,9,269
"2023-04",2023-04-01,18,16,5,11,274
"2023-05",2023-05-01,19,15,3,12,277
"2023-06",2023-06-01,38,22,5,17,282
"2023-07",2023-07-01,15,8,1,7,283
"2023-08",2023-08-01,24,17,5,12,288
"2023-09",2023-09-01,34,20,5,15,293
"2023-10",2023-10-01,11,6,0,6,293
"2023-11",2023-11-01,23,17,5,12,298
"2023-12",2023-12-01,14,12,3,9,301
"2024-01",2024-01-01,23,16,3,13,304
"2024-02",2024-02-01,20,16,1,15,305
"2024-03",2024-03-01,22,17,7,10,312
"2024-04",2024-04-01,18,14,5,9,317
"2024-05",2024-05-01,21,17,4,13,321
"2024-06",2024-06-01,23,19,4,15,325
"2024-07",2024-07-01,11,8,2,6,327
"2024-08",2024-08-01,20,12,3,9,330
"2024-09",2024-09-01,14,12,1,11,331
"2024-10",2024-10-01,17,14,2,12,333
"2024-11",2024-11-01,18,15,3,12,336
"2024-12",2024-12-01,8,5,2,3,338
"2025-01",2025-01-01,12,11,1,10,339
"2025-02",2025-02-01,14,12,1,11,340
"2025-03",2025-03-01,12,11,3,8,343
"2025-04",2025-04-01,13,12,2,10,345
"2025-05",2025-05-01,16,12,4,8,349
"2025-06",2025-06-01,17,14,1,13,350
"2025-07",2025-07-01,10,8,1,7,351
"2025-08",2025-08-01,14,13,1,12,352
"2025-09",2025-09-01,9,9,3,6,355
"2025-10",2025-10-01,12,11,4,7,359
"2025-11",2025-11-01,15,11,3,8,362
"2025-12",2025-12-01,13,10,4,6,366
"2026-01",2026-01-01,14,14,7,7,373
"2026-02",2026-02-01,13,12,1,11,374
"2026-03",2026-03-01,20,18,7,11,381
"2026-04",2026-04-01,23,12,4,8,385
"2026-05",2026-05-01,17,14,3,11,388
"2026-06",2026-06-01,10,9,4,5,392
"2026-07",2026-07-01,9,8,4,4,396
"2026-08",2026-08-01,20,20,10,10,406
