"login","name","company","location","bio","followers","public_repos","created_at","merged_prs"
"ivelasq","Isabella Velásquez",NA,"Chicago, IL","%>% dreams",348,86,"2015-05-04T14:40:14Z",88
"shikokuchuo","Charlie Gao","@posit-pbc","London, United Kingdom","Senior Software Engineer @posit-pbc",196,154,"2019-07-28T11:57:46Z",56
"maelle","Maëlle Salmon","@ropensci","Nancy, France","R(esearch) Software Engineer, Blogger",1111,350,"2014-08-05T08:10:04Z",55
"jonmcalder","Jon Calder","Libryo","Cape Town, South Africa","R Enthusiast 💻
",139,167,"2013-07-20T22:42:02Z",54
"HenrikBengtsson","Henrik Bengtsson","UCSF",NA,"Assoc Professor. R Foundation. R Consortium. Many R packages, e.g. future & matrixStats.",889,283,"2012-04-05T21:26:32Z",53
"jonocarroll","Jonathan Carroll","@IrregularlyScheduledProgramming","Adelaide, South Australia","Recovering theoretical physicist / ongoing coffee addict / continually improving data scientist. I'm interested in open-source data projects, mainly in R.",284,226,"2014-11-01T10:03:49Z",51
"AlbertRapp","Albert Rapp",NA,NA,NA,314,38,"2020-05-15T06:49:52Z",43
"Ryo-N7","Ryo Nakagawara","@ACDIVOCATech ","Tokyo, Japan","#rstats | MSc. Business Psychology (UCL) | ⚽ #LFC | Data Scientist @ ACDI-VOCA (🌾 NGO) | R Weekly Member | Ex-⚽ Consultant @ 11tegen11 | Twitter: @R_by_Ryo",400,63,"2016-05-30T23:42:49Z",36
"etiennebacher","Etienne Bacher",NA,NA,NA,217,129,"2019-06-25T20:03:15Z",26
"hturner","Heather Turner","University of Birmingham","Birmingham, United Kingdom","Principal Research Software Engineer, Advanced Research Computing, University of Birmingham",222,85,"2013-01-22T19:46:54Z",26
"hughjonesd","David Hugh-Jones",NA,NA,"Social scientist, R hacker",97,94,"2013-10-31T01:26:13Z",26
"mikemahoney218","Michael Mahoney","@cafri-labs","Boston, MA","R, Python, and using data to understand this complex world we live in",273,89,"2018-04-09T21:18:36Z",24
"martinctc","Martin Chan","Microsoft","London","Data Science @ Microsoft Viva",104,53,"2016-03-18T10:50:38Z",23
"stephenturner","Stephen Turner","@UVADS","Charlottesville, VA","Associate Professor at the University of Virginia School of Data Science.",961,160,"2010-10-29T21:03:18Z",22
"b-rodrigues","Bruno Rodrigues","MESR, Luxembourg","Luxembourg-City, Luxembourg",NA,468,217,"2012-12-09T01:09:06Z",21
"amrrs","amrrs",NA,NA,NA,1106,686,"2013-08-30T14:24:38Z",17
"chainsawriot",NA,"@gesistsa",NA,NA,254,256,"2011-02-25T03:52:49Z",17
"jwijffels",NA,"www.bnosac.be","Brussels, Belgium","www.bnosac.be",204,150,"2012-05-06T15:03:34Z",16
"malcolmbarrett","Malcolm Barrett","Stanford University","Ann Arbor, Michigan","Open-source data science. Ph.D. in Epidemiology",577,236,"2016-10-28T15:12:11Z",15
"rolkra",NA,NA,"Vienna",NA,49,38,"2017-09-09T21:55:21Z",15
"tbs08","TracyShen",NA,"State College, PA","Data Analyst | Editor @rweekly | Social Media Team Leader @forwards 
 ",18,27,"2014-12-20T19:41:27Z",15
"tomroh","Thomas Roh",NA,"Seattle","Data Scientist, Software Developer",28,59,"2014-02-13T04:44:27Z",15
"ColinFay","Colin Fay","@ThinkR-open   ","Rennes, France","👨‍💻 Data Science and Engineering at @thinkr-open. 
""Chaotic good developer"". 
Loves building things, loves breaking things. 
Runs 🏃‍♂️. 
Eats plants 🌱.",921,196,"2016-03-18T21:04:08Z",14
"lgellis","Little Miss Data",NA,NA,"Laura Ellis is a data nerd extraordinaire.  ",127,20,"2016-07-28T14:37:35Z",14
