"file","date","display_name","url","identity","canonical"
"2019-04-15-2019-15.md","2019-04-15","Colin Fay","https://twitter.com/_colinfay","twitter:_colinfay","Colin Fay"
"2019-05-27-2019-21.md","2019-05-27","Eric Nantz","https://r-podcast.org","host:r-podcast.org","Eric Nantz"
"2019-06-03-2019-22.md","2019-06-03","Ryo Nakagawara","https://twitter.com/R_by_Ryo","twitter:r_by_ryo","Ryo Nakagawara"
"2019-07-15-2019-28.md","2019-07-15","Jonathan Carroll","https://twitter.com/carroll_jono","twitter:carroll_jono","Jonathan Carroll"
"2019-07-29-2019-30.md","2019-07-29","Eric Nantz","https://twitter.com/thercast","twitter:thercast","Eric Nantz"
"2019-08-05-2019-31.md","2019-08-05","Ryo Nakagawara","https://twitter.com/R_by_Ryo","twitter:r_by_ryo","Ryo Nakagawara"
"2019-08-19-2019-33.md","2019-08-19","Colin Fay","https://twitter.com/_colinfay","twitter:_colinfay","Colin Fay"
"2019-09-16-2019-37.md","2019-09-16","Jonathan Carroll","https://twitter.com/carroll_jono","twitter:carroll_jono","Jonathan Carroll"
"2019-09-30-2019-39.md","2019-09-30","Eric Nantz","https://twitter.com/thercast","twitter:thercast","Eric Nantz"
"2019-10-07-2019-40.md","2019-10-07","Ryo Nakagawara","https://twitter.com/R_by_Ryo","twitter:r_by_ryo","Ryo Nakagawara"
"2019-10-21-2019-42.md","2019-10-21","Colin Fay","https://twitter.com/_ColinFay","twitter:_colinfay","Colin Fay"
"2019-11-11-2019-45.md","2019-11-11","Jon Calder","https://twitter.com/jonmcalder","twitter:jonmcalder","Jon Calder"
"2019-11-18-2019-46.md","2019-11-18","Jonathan Carroll","https://twitter.com/carroll_jono","twitter:carroll_jono","Jonathan Carroll"
"2019-11-25-2019-47.md","2019-11-25","Maëlle Salmon","https://twitter.com/ma_salmon","twitter:ma_salmon","Maëlle Salmon"
"2019-12-02-2019-48.md","2019-12-02","Eric Nantz","https://twitter.com/theRcast","twitter:thercast","Eric Nantz"
"2019-12-09-2019-49.md","2019-12-09","Ryo Nakagawara","https://twitter.com/R_by_Ryo","twitter:r_by_ryo","Ryo Nakagawara"
"2020-01-13-2020-02.md","2020-01-13","Maëlle Salmon","https://twitter.com/ma_salmon","twitter:ma_salmon","Maëlle Salmon"
"2020-01-20-2020-03.md","2020-01-20","Jon Calder","https://twitter.com/jonmcalder","twitter:jonmcalder","Jon Calder"
"2020-01-27-2020-04.md","2020-01-27","Jonathan Carroll","https://twitter.com/carroll_jono","twitter:carroll_jono","Jonathan Carroll"
"2020-02-03-2020-05.md","2020-02-03","Eric Nantz","https://twitter.com/theRcast","twitter:thercast","Eric Nantz"
"2020-02-10-2020-06.md","2020-02-10","Ryo Nakagawara","https://twitter.com/R_by_Ryo","twitter:r_by_ryo","Ryo Nakagawara"
"2020-03-16-2020-11.md","2020-03-16","Maëlle Salmon","https://twitter.com/ma_salmon","twitter:ma_salmon","Maëlle Salmon"
"2020-03-23-2020-12.md","2020-03-23","Jon Calder","https://twitter.com/jonmcalder","twitter:jonmcalder","Jon Calder"
"2020-03-30-2020-13.md","2020-03-30","Jonathan Carroll","https://twitter.com/carroll_jono","twitter:carroll_jono","Jonathan Carroll"
"2020-04-06-2020-14.md","2020-04-06","Eric Nantz","https://twitter.com/thercast","twitter:thercast","Eric Nantz"
"2020-04-13-2020-15.md","2020-04-13","Ryo Nakagawara","https://twitter.com/R_by_Ryo","twitter:r_by_ryo","Ryo Nakagawara"
"2020-04-20-2020-16.md","2020-04-20","Miles McBain","https://twitter.com/milesmcbain","twitter:milesmcbain","Miles McBain"
"2020-04-27-2020-17.md","2020-04-27","Tony ElHabr","https://twitter.com/TonyElHabr","twitter:tonyelhabr","Tony ElHabr"
"2020-05-04-2020-18.md","2020-05-04","Robert Hickman","https://twitter.com/robwhickman","twitter:robwhickman","Robert Hickman"
"2020-05-11-2020-19.md","2020-05-11","Colin Fay","https://twitter.com/_colinfay","twitter:_colinfay","Colin Fay"
"2020-05-18-2020-20.md","2020-05-18","Maëlle Salmon","https://twitter.com/ma_salmon","twitter:ma_salmon","Maëlle Salmon"
"2020-05-25-2020-21.md","2020-05-25","Jon Calder","https://twitter.com/jonmcalder","twitter:jonmcalder","Jon Calder"
"2020-06-01-2020-22.md","2020-06-01","Jonathan Carroll","https://twitter.com/carroll_jono","twitter:carroll_jono","Jonathan Carroll"
"2020-06-08-2020-23.md","2020-06-08","Eric Nantz","https://twitter.com/theRcast","twitter:thercast","Eric Nantz"
"2020-06-15-2020-24.md","2020-06-15","Ryo Nakagawara","https://twitter.com/R_by_Ryo","twitter:r_by_ryo","Ryo Nakagawara"
"2020-06-22-2020-25.md","2020-06-22","Miles McBain","https://twitter.com/milesmcbain","twitter:milesmcbain","Miles McBain"
"2020-06-28-2020-26.md","2020-06-28","Tony ElHabr","https://twitter.com/TonyElHabr","twitter:tonyelhabr","Tony ElHabr"
"2020-07-06-2020-27.md","2020-07-06","Robert Hickman","https://twitter.com/robwhickman?lang=en","twitter:robwhickman","Robert Hickman"
"2020-07-13-2020-28.md","2020-07-13","Colin Fay","https://twitter.com/_ColinFay","twitter:_colinfay","Colin Fay"
"2020-07-20-2020-29.md","2020-07-20","Jon Calder","https://twitter.com/jonmcalder","twitter:jonmcalder","Jon Calder"
"2020-07-27-2020-30.md","2020-07-27","Maëlle Salmon","https://twitter.com/ma_salmon","twitter:ma_salmon","Maëlle Salmon"
"2020-08-03-2020-31.md","2020-08-03","Jonathan Carroll","https://twitter.com/carroll_jono","twitter:carroll_jono","Jonathan Carroll"
"2020-08-10-2020-32.md","2020-08-10","Eric Nantz","https://twitter.com/thercast","twitter:thercast","Eric Nantz"
"2020-08-17-2020-33.md","2020-08-17","Ryo Nakagawara","https://twitter.com/R_by_Ryo","twitter:r_by_ryo","Ryo Nakagawara"
"2020-08-24-2020-34.md","2020-08-24","Miles McBain","https://twitter.com/milesmcbain","twitter:milesmcbain","Miles McBain"
"2020-08-30-2020-35.md","2020-08-30","Tony ElHabr","https://twitter.com/TonyElHabr","twitter:tonyelhabr","Tony ElHabr"
"2020-09-07-2020-36.md","2020-09-07","Robert Hickman","https://twitter.com/robwhickman","twitter:robwhickman","Robert Hickman"
