"display_name","canonical","identity","n_credits"
"Batool Almarzouq","Batool Almarzouq","host:batool-almarzouq.netlify.app",21
"Batool Almarzouq","Batool Almarzouq","github:batoolmm",9
"Batool","Batool Almarzouq","github:batoolmm",1
"Batool Almaarzouq","Batool Almarzouq","host:batool-almarzouq.netlify.app",1
"Batool Almarzouq","Batool Almarzouq","host:epcc.ed.ac.uk",1
"Batool Almarzouq","Batool Almarzouq","name:batool almarzouq",1
"Batool Almarzouq","Batool Almarzouq","twitter:batool664",1
"Colin Fay","Colin Fay","host:colinfay.me",25
"Colin Fay","Colin Fay","twitter:_colinfay",9
"Colin","Colin Fay","host:colinfay.me",3
"Emily Robinson","Emily Robinson","twitter:emilyrobinson_a",1
"Eric Nantz","Eric Nantz","masto:rpodcast",15
"Eric Nantz","Eric Nantz","twitter:thercast",14
"Eric Nantz","Eric Nantz","bsky:rpodcast",9
"Eric Nantz","Eric Nantz","host:r-podcast.org",2
"Eric Nantz","Eric Nantz","host:shinydevseries.com",2
"Jon Calder","Jon Calder","twitter:jonmcalder",20
"Jon Calder","Jon Calder","bsky:jonmcalder",7
"Jon Calder","Jon Calder","masto:jonmcalder",7
"Jon Calder","Jon Calder","host:joncalder.co.za",4
"Jonathan Carroll","Jonathan Carroll","masto:jonocarroll",23
"Jonathan Carroll","Jonathan Carroll","twitter:carroll_jono",16
"Jonathan Kitt","Jonathan Kitt","bsky:jonathankitt",7
"Jonathan Kitt","Jonathan Kitt","host:linkedin.com",1
"Kelly Bodwin","Kelly Bodwin","twitter:kellybodwin",6
"Kelly Bodwin","Kelly Bodwin","host:kelly-bodwin.com",1
"Kelly Bodwin","Kelly Bodwin","masto:kellybodwin",1
"Maëlle Salmon","Maëlle Salmon","twitter:ma_salmon",7
"Miles McBain","Miles McBain","twitter:milesmcbain",6
"Miles McBain","Miles McBain","host:milesmcbain.com",3
"Robert Hickman","Robert Hickman","twitter:robwhickman",7
"Ryo Nakagawara","Ryo Nakagawara","twitter:r_by_ryo",24
"Ryo Nakagawara","Ryo Nakagawara","bsky:rbyryo",9
"Ryo Nakagawara","Ryo Nakagawara","masto:r_by_ryo",5
"Ryo","Ryo Nakagawara","github:ryo-n7",1
"Sam Parmar","Sam Parmar","github:parmsam",25
"Tony ElHabr","Tony ElHabr","twitter:tonyelhabr",16
"Tony ElHabr","Tony ElHabr","host:tonyelhabr.rbind.io",7
"Tony ElHabr","Tony ElHabr","host:@tonyelhabr",1
"Tony Elhabr","Tony ElHabr","twitter:tonyelhabr",1
"Wolfram Qin","Wolfram Qin","name:wolfram qin",5
"Wolfram King","Wolfram Qin","name:wolfram king",3
