"canonical_name","issues_curated","first_issue","last_issue","display_variants","identities"
"Eric Nantz",42,"2019-05-27","2026-08-24","Eric Nantz","bsky:rpodcast | host:r-podcast.org | host:shinydevseries.com | masto:rpodcast | twitter:thercast"
"Jonathan Carroll",39,"2019-07-15","2026-06-29","Jonathan Carroll","masto:jonocarroll | twitter:carroll_jono"
"Ryo Nakagawara",39,"2019-06-03","2026-03-02","Ryo | Ryo Nakagawara","bsky:rbyryo | github:ryo-n7 | masto:r_by_ryo | twitter:r_by_ryo"
"Jon Calder",38,"2019-11-11","2026-07-06","Jon Calder","bsky:jonmcalder | host:joncalder.co.za | masto:jonmcalder | twitter:jonmcalder"
"Colin Fay",37,"2019-04-15","2026-07-27","Colin | Colin Fay","host:colinfay.me | twitter:_colinfay"
"Batool Almarzouq",35,"2021-01-11","2026-08-03","Batool | Batool Almaarzouq | Batool Almarzouq","github:batoolmm | host:batool-almarzouq.netlify.app | host:epcc.ed.ac.uk | name:batool almarzouq | twitter:batool664"
"Sam Parmar",25,"2022-06-06","2026-08-10","Sam Parmar","github:parmsam"
"Tony ElHabr",25,"2020-04-27","2024-11-25","Tony Elhabr | Tony ElHabr","host:@tonyelhabr | host:tonyelhabr.rbind.io | twitter:tonyelhabr"
"Miles McBain",9,"2020-04-20","2022-09-05","Miles McBain","host:milesmcbain.com | twitter:milesmcbain"
"Jonathan Kitt",8,"2025-02-03","2026-06-01","Jonathan Kitt","bsky:jonathankitt | host:linkedin.com"
"Kelly Bodwin",8,"2021-03-08","2023-03-06","Kelly Bodwin","host:kelly-bodwin.com | masto:kellybodwin | twitter:kellybodwin"
"Wolfram Qin",8,"2020-12-28","2021-11-25","Wolfram King | Wolfram Qin","name:wolfram king | name:wolfram qin"
"Maëlle Salmon",7,"2019-11-25","2020-11-30","Maëlle Salmon","twitter:ma_salmon"
"Robert Hickman",7,"2020-05-04","2021-06-21","Robert Hickman","twitter:robwhickman"
"Emily Robinson",1,"2023-03-06","2023-03-06","Emily Robinson","twitter:emilyrobinson_a"
