"pr_number","author","merged_at","year","author_association","repo_first_time"
2,"sahirbhatnagar","2016-06-05",2016,"CONTRIBUTOR",TRUE
3,"jonocarroll","2016-06-05",2016,"MEMBER",TRUE
6,"jonocarroll","2016-06-08",2016,"MEMBER",FALSE
7,"abresler","2016-06-11",2016,"CONTRIBUTOR",TRUE
8,"ledell","2016-07-01",2016,"CONTRIBUTOR",TRUE
9,"thirdwing","2016-07-01",2016,"CONTRIBUTOR",TRUE
10,"daattali","2016-07-01",2016,"CONTRIBUTOR",TRUE
11,"osofr","2016-07-01",2016,"CONTRIBUTOR",TRUE
12,"osofr","2016-07-01",2016,"CONTRIBUTOR",FALSE
14,"kbroman","2016-07-02",2016,"CONTRIBUTOR",TRUE
15,"HenrikBengtsson","2016-07-03",2016,"CONTRIBUTOR",TRUE
16,"r-suzuki","2016-07-04",2016,"CONTRIBUTOR",TRUE
17,"mrustl","2016-07-07",2016,"CONTRIBUTOR",TRUE
18,"mrustl","2016-07-07",2016,"CONTRIBUTOR",FALSE
19,"goknurginer","2016-07-07",2016,"CONTRIBUTOR",TRUE
20,"eddelbuettel","2016-07-25",2016,"CONTRIBUTOR",TRUE
21,"rajshah4","2016-08-04",2016,"CONTRIBUTOR",TRUE
22,"ColinFay","2016-08-04",2016,"MEMBER",TRUE
23,"ColinFay","2016-08-10",2016,"MEMBER",FALSE
24,"ColinFay","2016-08-17",2016,"MEMBER",FALSE
25,"ColinFay","2016-08-25",2016,"MEMBER",FALSE
26,"eddelbuettel","2016-09-05",2016,"CONTRIBUTOR",FALSE
27,"mstrimas","2016-09-13",2016,"CONTRIBUTOR",TRUE
29,"abresler","2016-09-28",2016,"CONTRIBUTOR",FALSE
30,"dselivanov","2016-10-08",2016,"CONTRIBUTOR",TRUE
31,"seasmith","2016-10-08",2016,"CONTRIBUTOR",TRUE
32,"mstrimas","2016-10-22",2016,"CONTRIBUTOR",FALSE
33,"jimhester","2016-10-25",2016,"CONTRIBUTOR",TRUE
35,"ColinFay","2016-11-05",2016,"MEMBER",FALSE
36,"seasmith","2016-11-14",2016,"CONTRIBUTOR",FALSE
37,"eddelbuettel","2016-11-14",2016,"CONTRIBUTOR",FALSE
38,"ColinFay","2016-11-15",2016,"MEMBER",FALSE
39,"ColinFay","2016-11-17",2016,"MEMBER",FALSE
